"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",1.77364455777446e-81,2.27855156358206,0.388,0.098,4.18030285821862e-77,"0","HMMR"
"2",7.03579314059139e-56,2.14731607670602,0.294,0.077,1.65826608530598e-51,"0","PLK1"
"3",2.06663179857356e-123,2.13299371352569,0.581,0.163,4.87084448605802e-119,"0","DLGAP5"
"4",5.50763503272097e-179,2.1329726694037,0.797,0.266,1.29809450086201e-174,"0","CCNB1"
"5",3.86727387551245e-54,2.12160029370228,0.301,0.084,9.1147777971953e-50,"0","CDC20"
"6",2.72135728303013e-18,1.0146853664472,0.272,0.134,6.41396698037371e-14,"1","RBFOX3"
"7",5.55999734857971e-14,0.712711113363445,0.584,0.462,1.31043577508675e-09,"1","AGR2"
"8",1.52957107927203e-07,0.707432100903828,0.274,0.189,0.00360504607673624,"1","RGS20"
"9",2.59804585580097e-06,0.618204467698379,0.286,0.21,0.061233342775373,"1","ANKRD33B"
"10",3.81953761064192e-06,0.558501903745284,0.266,0.189,0.0900226819452195,"1","MYO19"
"11",0,3.91256446470665,0.807,0.093,0,"2","HIST1H1D"
"12",6.05851666825491e-140,3.56848359888777,0.357,0.032,1.427931793541e-135,"2","HIST1H2AH"
"13",9.41875800999578e-113,3.50405155714207,0.299,0.029,2.21990707537591e-108,"2","HIST1H2AG"
"14",2.31441466801994e-193,3.37904261315259,0.557,0.076,5.45484393105619e-189,"2","HIST1H3B"
"15",7.76863859453815e-185,3.22224305815594,0.549,0.078,1.8309904303467e-180,"2","HIST1H1E"
"16",6.08753200909582e-72,2.79761134423901,0.269,0.045,1.43477041922379e-67,"3","CCBE1"
"17",2.31710032889858e-61,2.24581277942923,0.293,0.064,5.46117376518107e-57,"3","COL4A1"
"18",2.62695984166836e-73,2.09585515769352,0.437,0.128,6.19148165082817e-69,"3","KIRREL3"
"19",4.51399229618218e-65,2.06066058978433,0.31,0.068,1.06390284428718e-60,"3","ITGA11"
"20",6.81773319558552e-89,1.95708326796021,0.544,0.174,1.60687153686755e-84,"3","COL4A2"
"21",4.22190341521826e-67,2.70007704936091,0.347,0.08,9.95060415932792e-63,"4","RHCG"
"22",2.60377507487175e-34,2.18042816948506,0.283,0.093,6.13683747396524e-30,"4","RARRES1"
"23",2.13521391237657e-39,2.17681314494996,0.273,0.079,5.03248567008033e-35,"4","LXN"
"24",5.83136065037633e-42,2.0229219242258,0.347,0.119,1.3743933916872e-37,"4","PITPNC1"
"25",4.20001448834474e-46,1.95726860648736,0.485,0.203,9.89901414757973e-42,"4","PDE3A"
"26",7.72201217966349e-11,1.09943259439815,0.288,0.154,1.82000105062489e-06,"5","PCSK1N"
"27",1.5827781269742e-09,1.00027421246434,0.344,0.213,3.7304497674655e-05,"5","LGALS3"
"28",1.70224267924506e-06,0.941105018253861,0.281,0.185,0.0401201577071269,"5","S100A3"
"29",4.355984850312e-11,0.930668637308476,0.537,0.397,1.02666206937004e-06,"5","PHLDA2"
"30",1.30176061558733e-07,0.926096260515383,0.278,0.169,0.00306811959487778,"5","PYCARD"
"31",9.72795566896322e-26,5.09870340018558,0.27,0.019,2.29278187161794e-21,"6","ST3GAL6"
"32",6.38454791241596e-14,4.86521702173713,0.27,0.037,1.50477409747732e-09,"6","AC083870.1"
"33",1.40232649405448e-10,4.06182829740908,0.514,0.185,3.305143313837e-06,"6","AADACL2-AS1"
"34",6.35992071883824e-12,3.97059116835062,0.351,0.073,1.49896971422299e-07,"6","AL138828.1"
"35",2.1349678720454e-10,3.95080566153476,0.297,0.059,5.0319057776238e-06,"6","AC048341.1"
